Tiempo: 1, Cantidad de comida en el mapa: 200, UC que murieron: 0, Promedio de inteligencia: 1.12
Tiempo: 351, Cantidad de comida en el mapa: 17174, UC que murieron: 0, Promedio de inteligencia: 3.38
Tiempo: 361, Cantidad de comida en el mapa: 18415, UC que murieron: 0, Promedio de inteligencia: 3.37
Tiempo: 371, Cantidad de comida en el mapa: 19896, UC que murieron: 1, Promedio de inteligencia: 3.37
Tiempo: 381, Cantidad de comida en el mapa: 21164, UC que murieron: 0, Promedio de inteligencia: 3.4
Tiempo: 391, Cantidad de comida en el mapa: 22356, UC que murieron: 0, Promedio de inteligencia: 3.4
Tiempo: 401, Cantidad de comida en el mapa: 19087, UC que murieron: 0, Promedio de inteligencia: 3.39
Tiempo: 411, Cantidad de comida en el mapa: 20212, UC que murieron: 0, Promedio de inteligencia: 3.38
Tiempo: 421, Cantidad de comida en el mapa: 21594, UC que murieron: 0, Promedio de inteligencia: 3.39
Tiempo: 431, Cantidad de comida en el mapa: 23116, UC que murieron: 2, Promedio de inteligencia: 3.41
Tiempo: 441, Cantidad de comida en el mapa: 24381, UC que murieron: 0, Promedio de inteligencia: 3.41
Tiempo: 451, Cantidad de comida en el mapa: 20661, UC que murieron: 0, Promedio de inteligencia: 3.41
Tiempo: 461, Cantidad de comida en el mapa: 22082, UC que murieron: 0, Promedio de inteligencia: 3.38
Tiempo: 471, Cantidad de comida en el mapa: 23509, UC que murieron: 1, Promedio de inteligencia: 3.36
Tiempo: 481, Cantidad de comida en el mapa: 24822, UC que murieron: 2, Promedio de inteligencia: 3.42
Tiempo: 491, Cantidad de comida en el mapa: 25823, UC que murieron: 0, Promedio de inteligencia: 3.48
Tiempo: 501, Cantidad de comida en el mapa: 21850, UC que murieron: 0, Promedio de inteligencia: 3.47
Tiempo: 511, Cantidad de comida en el mapa: 22849, UC que murieron: 0, Promedio de inteligencia: 3.49
Tiempo: 521, Cantidad de comida en el mapa: 23863, UC que murieron: 0, Promedio de inteligencia: 3.57
Tiempo: 531, Cantidad de comida en el mapa: 24746, UC que murieron: 0, Promedio de inteligencia: 3.65
Tiempo: 541, Cantidad de comida en el mapa: 25893, UC que murieron: 0, Promedio de inteligencia: 3.65
Tiempo: 551, Cantidad de comida en el mapa: 22054, UC que murieron: 0, Promedio de inteligencia: 3.64
Tiempo: 561, Cantidad de comida en el mapa: 23198, UC que murieron: 0, Promedio de inteligencia: 3.66
Tiempo: 571, Cantidad de comida en el mapa: 24454, UC que murieron: 0, Promedio de inteligencia: 3.64
Tiempo: 581, Cantidad de comida en el mapa: 25464, UC que murieron: 0, Promedio de inteligencia: 3.65
Tiempo: 591, Cantidad de comida en el mapa: 26571, UC que murieron: 1, Promedio de inteligencia: 3.64
Tiempo: 601, Cantidad de comida en el mapa: 22755, UC que murieron: 0, Promedio de inteligencia: 3.64
Tiempo: 611, Cantidad de comida en el mapa: 24040, UC que murieron: 1, Promedio de inteligencia: 3.66
Tiempo: 621, Cantidad de comida en el mapa: 25347, UC que murieron: 0, Promedio de inteligencia: 3.68
Tiempo: 631, Cantidad de comida en el mapa: 26431, UC que murieron: 0, Promedio de inteligencia: 3.69
Tiempo: 641, Cantidad de comida en el mapa: 27649, UC que murieron: 1, Promedio de inteligencia: 3.72
Tiempo: 651, Cantidad de comida en el mapa: 23390, UC que murieron: 0, Promedio de inteligencia: 3.74
Tiempo: 661, Cantidad de comida en el mapa: 24547, UC que murieron: 1, Promedio de inteligencia: 3.74
Tiempo: 671, Cantidad de comida en el mapa: 25802, UC que murieron: 0, Promedio de inteligencia: 3.75
Tiempo: 681, Cantidad de comida en el mapa: 26882, UC que murieron: 0, Promedio de inteligencia: 3.77
Tiempo: 691, Cantidad de comida en el mapa: 27789, UC que murieron: 0, Promedio de inteligencia: 3.78
Tiempo: 701, Cantidad de comida en el mapa: 23514, UC que murieron: 1, Promedio de inteligencia: 3.81
Tiempo: 711, Cantidad de comida en el mapa: 24426, UC que murieron: 0, Promedio de inteligencia: 3.84
Tiempo: 721, Cantidad de comida en el mapa: 25368, UC que murieron: 0, Promedio de inteligencia: 3.86
Tiempo: 731, Cantidad de comida en el mapa: 26475, UC que murieron: 0, Promedio de inteligencia: 3.86
Tiempo: 741, Cantidad de comida en el mapa: 27649, UC que murieron: 0, Promedio de inteligencia: 3.85
Tiempo: 751, Cantidad de comida en el mapa: 23895, UC que murieron: 0, Promedio de inteligencia: 3.86
Tiempo: 761, Cantidad de comida en el mapa: 25205, UC que murieron: 0, Promedio de inteligencia: 3.88
Tiempo: 771, Cantidad de comida en el mapa: 26321, UC que murieron: 0, Promedio de inteligencia: 3.89
Tiempo: 781, Cantidad de comida en el mapa: 27391, UC que murieron: 0, Promedio de inteligencia: 3.89
Tiempo: 791, Cantidad de comida en el mapa: 28534, UC que murieron: 0, Promedio de inteligencia: 3.87
Tiempo: 801, Cantidad de comida en el mapa: 24796, UC que murieron: 1, Promedio de inteligencia: 3.87
Tiempo: 811, Cantidad de comida en el mapa: 25942, UC que murieron: 0, Promedio de inteligencia: 3.89
Tiempo: 821, Cantidad de comida en el mapa: 27010, UC que murieron: 0, Promedio de inteligencia: 3.89
Tiempo: 831, Cantidad de comida en el mapa: 28028, UC que murieron: 0, Promedio de inteligencia: 3.93
Tiempo: 841, Cantidad de comida en el mapa: 29134, UC que murieron: 0, Promedio de inteligencia: 3.93
Tiempo: 851, Cantidad de comida en el mapa: 24889, UC que murieron: 0, Promedio de inteligencia: 3.96
Tiempo: 861, Cantidad de comida en el mapa: 26027, UC que murieron: 0, Promedio de inteligencia: 3.98
Tiempo: 871, Cantidad de comida en el mapa: 27105, UC que murieron: 0, Promedio de inteligencia: 3.97
Tiempo: 881, Cantidad de comida en el mapa: 28330, UC que murieron: 0, Promedio de inteligencia: 3.97
Tiempo: 891, Cantidad de comida en el mapa: 29698, UC que murieron: 0, Promedio de inteligencia: 3.95
Tiempo: 901, Cantidad de comida en el mapa: 25983, UC que murieron: 1, Promedio de inteligencia: 3.95
Tiempo: 911, Cantidad de comida en el mapa: 27432, UC que murieron: 0, Promedio de inteligencia: 3.96
Tiempo: 921, Cantidad de comida en el mapa: 28739, UC que murieron: 0, Promedio de inteligencia: 3.99
Tiempo: 931, Cantidad de comida en el mapa: 29935, UC que murieron: 2, Promedio de inteligencia: 4.02
Tiempo: 941, Cantidad de comida en el mapa: 31136, UC que murieron: 0, Promedio de inteligencia: 4.03
Tiempo: 951, Cantidad de comida en el mapa: 26552, UC que murieron: 1, Promedio de inteligencia: 4.05
Tiempo: 961, Cantidad de comida en el mapa: 27610, UC que murieron: 0, Promedio de inteligencia: 4.08
Tiempo: 971, Cantidad de comida en el mapa: 28588, UC que murieron: 0, Promedio de inteligencia: 4.1
Tiempo: 981, Cantidad de comida en el mapa: 29647, UC que murieron: 1, Promedio de inteligencia: 4.11
Tiempo: 991, Cantidad de comida en el mapa: 30693, UC que murieron: 0, Promedio de inteligencia: 4.11
Tiempo: 1000, Cantidad de comida en el mapa: 26055, UC que murieron: 1, Promedio de inteligencia: 4.08
